STATE,PUMA,metro,metro_pop_share,puma_pop_2020
06,00113,San Francisco,1.0,125840.0
06,00114,San Francisco,1.0,194852.0
06,00115,San Francisco,1.0,107913.0
06,00116,San Francisco,1.0,102035.0
06,00117,San Francisco,1.0,105721.0
06,00118,San Francisco,1.0,125765.0
06,00119,San Francisco,1.0,126178.0
06,00120,San Francisco,1.0,118663.0
06,00121,San Francisco,1.0,115687.0
06,00122,San Francisco,1.0,100310.0
06,00123,San Francisco,1.0,101468.0
06,01301,San Francisco,1.0,129420.0
06,01305,San Francisco,1.0,143688.0
06,01308,San Francisco,1.0,120154.0
06,01309,San Francisco,1.0,125676.0
06,01310,San Francisco,1.0,140962.0
06,01311,San Francisco,1.0,122701.0
06,01312,San Francisco,1.0,103075.0
06,01313,San Francisco,1.0,177708.0
06,01314,San Francisco,1.0,102543.0
06,04103,San Francisco,1.0,103006.0
06,04104,San Francisco,1.0,159315.0
06,07507,San Francisco,1.0,115070.0
06,07508,San Francisco,1.0,100221.0
06,07509,San Francisco,1.0,115773.0
06,07510,San Francisco,1.0,107058.0
06,07511,San Francisco,1.0,128619.0
06,07512,San Francisco,1.0,100691.0
06,07513,San Francisco,1.0,104289.0
06,07514,San Francisco,1.0,102244.0
06,08101,San Francisco,1.0,142648.0
06,08102,San Francisco,1.0,123800.0
06,08103,San Francisco,1.0,110800.0
06,08104,San Francisco,1.0,129709.0
06,08105,San Francisco,1.0,139778.0
06,08106,San Francisco,1.0,117707.0
